"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 31 00:24:29 MSK 2023","Thu Aug 31 00:24:30 MSK 2023","1000","tests","Elements","Web Tables","","","test_web_table_add_person[input_data134]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:26:44 MSK 2023","Thu Aug 31 00:26:45 MSK 2023","944","tests","Elements","Web Tables","","","test_web_table_add_person[input_data216]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:31:02 MSK 2023","Thu Aug 31 00:31:03 MSK 2023","1416","tests","Elements","Web Tables","","","test_web_table_add_person[input_data364]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:25:48 MSK 2023","Thu Aug 31 00:25:49 MSK 2023","1340","tests","Elements","Web Tables","","","test_web_table_add_person[input_data183]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:29:47 MSK 2023","Thu Aug 31 00:29:48 MSK 2023","1436","tests","Elements","Web Tables","","","test_web_table_add_person[input_data321]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:30:57 MSK 2023","Thu Aug 31 00:30:58 MSK 2023","944","tests","Elements","Web Tables","","","test_web_table_add_person[input_data361]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:24:30 MSK 2023","Thu Aug 31 00:24:31 MSK 2023","988","tests","Elements","Web Tables","","","test_web_table_add_person[input_data135]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:22:39 MSK 2023","Thu Aug 31 00:22:40 MSK 2023","1458","tests","Elements","Web Tables","","","test_web_table_add_person[input_data56]"," Check if one new person could be added in the list "
"passed","Thu Aug 31 00:21:30 MSK 2023","Thu Aug 31 00:21:31 MSK 2023","929","tests","Elements","Web Tables","","","test_web_table_add_person[input_data10]"," Check if one new person could be added in the list "
"passed","Thu Aug 31 00:23:10 MSK 2023","Thu Aug 31 00:23:11 MSK 2023","880","tests","Elements","Web Tables","","","test_web_table_add_person[input_data78]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:26:35 MSK 2023","Thu Aug 31 00:26:36 MSK 2023","1350","tests","Elements","Web Tables","","","test_web_table_add_person[input_data210]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:32:12 MSK 2023","Thu Aug 31 00:32:12 MSK 2023","192","tests","Elements","Web Tables","","","test_web_table_search_specified_results[Cier-2]"," Check if search result matches to the query "
"failed","Thu Aug 31 00:22:52 MSK 2023","Thu Aug 31 00:22:53 MSK 2023","940","tests","Elements","Web Tables","","","test_web_table_add_person[input_data66]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:22:48 MSK 2023","Thu Aug 31 00:22:50 MSK 2023","1399","tests","Elements","Web Tables","","","test_web_table_add_person[input_data63]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:24:11 MSK 2023","Thu Aug 31 00:24:12 MSK 2023","941","tests","Elements","Web Tables","","","test_web_table_add_person[input_data121]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:24:17 MSK 2023","Thu Aug 31 00:24:19 MSK 2023","1468","tests","Elements","Web Tables","","","test_web_table_add_person[input_data126]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:31:39 MSK 2023","Thu Aug 31 00:31:40 MSK 2023","1336","tests","Elements","Web Tables","","","test_web_table_add_person[input_data385]"," Check if one new person could be added in the list "
"passed","Thu Aug 31 00:22:37 MSK 2023","Thu Aug 31 00:22:38 MSK 2023","950","tests","Elements","Web Tables","","","test_web_table_add_person[input_data55]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:29:18 MSK 2023","Thu Aug 31 00:29:19 MSK 2023","1336","tests","Elements","Web Tables","","","test_web_table_add_person[input_data305]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:25:37 MSK 2023","Thu Aug 31 00:25:39 MSK 2023","1300","tests","Elements","Web Tables","","","test_web_table_add_person[input_data177]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:25:32 MSK 2023","Thu Aug 31 00:25:33 MSK 2023","1284","tests","Elements","Web Tables","","","test_web_table_add_person[input_data174]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:31:46 MSK 2023","Thu Aug 31 00:31:47 MSK 2023","1393","tests","Elements","Web Tables","","","test_web_table_add_person[input_data389]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:25:21 MSK 2023","Thu Aug 31 00:25:22 MSK 2023","1358","tests","Elements","Web Tables","","","test_web_table_add_person[input_data167]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:28:10 MSK 2023","Thu Aug 31 00:28:11 MSK 2023","980","tests","Elements","Web Tables","","","test_web_table_add_person[input_data266]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:25:28 MSK 2023","Thu Aug 31 00:25:30 MSK 2023","1052","tests","Elements","Web Tables","","","test_web_table_add_person[input_data172]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:32:19 MSK 2023","Thu Aug 31 00:32:20 MSK 2023","192","tests","Elements","Web Tables","","","test_web_table_search_specified_results[ce-3]"," Check if search result matches to the query "
"skipped","Thu Aug 31 00:30:40 MSK 2023","Thu Aug 31 00:30:41 MSK 2023","1349","tests","Elements","Web Tables","","","test_web_table_add_person[input_data351]"," Check if one new person could be added in the list "
"passed","Thu Aug 31 00:24:12 MSK 2023","Thu Aug 31 00:24:13 MSK 2023","956","tests","Elements","Web Tables","","","test_web_table_add_person[input_data122]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:31:32 MSK 2023","Thu Aug 31 00:31:33 MSK 2023","1312","tests","Elements","Web Tables","","","test_web_table_add_person[input_data381]"," Check if one new person could be added in the list "
"passed","Thu Aug 31 00:33:37 MSK 2023","Thu Aug 31 00:33:43 MSK 2023","6025","tests","Elements","Dynamic Properties","","","test_change_color"," Check if the button changes color after 5 seconds"
"failed","Thu Aug 31 00:26:16 MSK 2023","Thu Aug 31 00:26:17 MSK 2023","1303","tests","Elements","Web Tables","","","test_web_table_add_person[input_data199]"," Check if one new person could be added in the list "
"passed","Thu Aug 31 00:32:39 MSK 2023","Thu Aug 31 00:32:40 MSK 2023","597","tests","Elements","Web Tables","","","test_web_table_delete_specified_person_by_first_name[Kierra]"," Check if a person could be deleted "
"skipped","Thu Aug 31 00:28:23 MSK 2023","Thu Aug 31 00:28:24 MSK 2023","1348","tests","Elements","Web Tables","","","test_web_table_add_person[input_data274]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:21:41 MSK 2023","Thu Aug 31 00:21:42 MSK 2023","965","tests","Elements","Web Tables","","","test_web_table_add_person[input_data18]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:27:27 MSK 2023","Thu Aug 31 00:27:28 MSK 2023","1323","tests","Elements","Web Tables","","","test_web_table_add_person[input_data241]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:25:03 MSK 2023","Thu Aug 31 00:25:04 MSK 2023","1364","tests","Elements","Web Tables","","","test_web_table_add_person[input_data157]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:30:51 MSK 2023","Thu Aug 31 00:30:52 MSK 2023","1326","tests","Elements","Web Tables","","","test_web_table_add_person[input_data357]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:24:33 MSK 2023","Thu Aug 31 00:24:34 MSK 2023","928","tests","Elements","Web Tables","","","test_web_table_add_person[input_data137]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:26:42 MSK 2023","Thu Aug 31 00:26:42 MSK 2023","906","tests","Elements","Web Tables","","","test_web_table_add_person[input_data214]"," Check if one new person could be added in the list "
